Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge,Backlog,7.5 hrs,0 hrs,,,,,Filtered view,,,
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,Backlog,13.5 hrs,0 hrs,,,,,Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded)
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,Backlog,11 hrs,0 hrs,,,,,[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge,Backlog,7.5 hrs,0 hrs
100% Orange Juice,Arcade,7.7 hrs,0 hrs,,,,,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,Backlog,13.5 hrs,0 hrs
1000xRESIST,Backlog,10.8 hrs,0 hrs,,,,,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,Backlog,11 hrs,0 hrs
1001 Spikes,Dropped,7.1 hrs,0 hrs,,,,,1000xRESIST,Backlog,10.8 hrs,0 hrs
A Fisherman's Tale,Backlog,1.5 hrs,0 hrs,,,,,A Fisherman's Tale,Backlog,1.5 hrs,0 hrs
A Plague Tale: Requiem,Backlog,17.1 hrs,0 hrs,,,,,A Plague Tale: Requiem,Backlog,17.1 hrs,0 hrs
A Story About My Uncle,Backlog,3.1 hrs,0 hrs,,,,,A Story About My Uncle,Backlog,3.1 hrs,0 hrs
A-Tech Cybernetic VR,Backlog,2.8 hrs,0 hrs,,,,,A-Tech Cybernetic VR,Backlog,2.8 hrs,0 hrs
Absolute Drift,Arcade,2.7 hrs,0 hrs,,,,,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,Backlog,8.5 hrs,0 hrs
ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,Backlog,8.5 hrs,0 hrs,,,,,Afterimage,Backlog,24.8 hrs,0 hrs
